Row	FieldName	OccurrenceCount	OccurrencePercentage	Use?
1	graphType	406	1	y
2	title	214	0.53	y
3	theme	166	0.41	n
4	colorBy	130	0.32	y
5	graphOrientation	125	0.31	y
6	showTransition	84	0.21	n
7	smpTitle	81	0.2	y
8	showLegend	80	0.2	y
9	xAxisTitle	78	0.19	y
10	smpLabelRotate	77	0.19	y
11	colorScheme	77	0.19	y
12	legendKeyBackgroundColor	69	0.17	n
13	legendKeyBackgroundBorderColor	69	0.17	n
14	groupingFactors	64	0.16	y
15	xAxis2Show	62	0.15	n
16	smpTitleFontStyle	60	0.15	n
17	xAxisTicksMinorShow	59	0.15	n
18	legendPosition	58	0.14	y
19	xAxis	57	0.14	y
20	smpLabelScaleFontFactor	57	0.14	y
21	backgroundType	53	0.13	n
22	axisAlgorithm	50	0.12	n
23	axisTitleFontStyle	50	0.12	n
24	axisTickScaleFontFactor	43	0.11	y
25	axisTitleScaleFontFactor	43	0.11	y
26	backgroundWindow	42	0.1	n
27	yAxis	42	0.1	y
28	smpTitleScaleFontFactor	41	0.1	y
29	background	39	0.1	n
30	histogramBins	35	0.09	y
31	objectBorderColor	34	0.08	n
32	xAxisTickColor	34	0.08	y
33	legendTextScaleFontFactor	33	0.08	y
34	legendColumns	31	0.08	y
35	guides	30	0.07	n
36	decorations	28	0.07	n
37	guidesColor	28	0.07	n
38	showHistogram	27	0.07	y
39	hideHistogram	26	0.06	y
40	colors	25	0.06	y
41	showHistogramDensity	25	0.06	y
42	yAxisTitle	24	0.06	y
43	lineType	22	0.05	y
44	showFilledHistogramDensity	22	0.05	y
45	subtitle	21	0.05	y
46	scatterType	21	0.05	y
47	stringSampleFactors	21	0.05	y
48	circularType	21	0.05	y
49	showDecorations	20	0.05	n
50	jitter	19	0.05	y
51	showViolinBoxplot	19	0.05	y
52	colorSpectrum	18	0.04	y
53	smpOverlays	18	0.04	y
54	circularRotate	17	0.04	n
55	circularArc	17	0.04	n
56	citation	17	0.04	y
57	showBoxplotIfViolin	17	0.04	y
58	legendTitleScaleFontFactor	16	0.04	y
59	segregateVariablesBy	16	0.04	y
60	showHistogramMedian	16	0.04	y
61	segregateSamplesBy	15	0.04	y
62	hierarchy	15	0.04	y
63	transitionTime	15	0.04	n
64	transitionStep	15	0.04	n
65	topoJSON	15	0.04	y
66	mapId	15	0.04	y
67	layoutAdjust	15	0.04	y
68	sizeBy	14	0.03	y
69	networkLayoutType	14	0.03	y
70	lineThickness	13	0.03	n
71	xAxis2	13	0.03	y
72	legendBox	13	0.03	n
73	showBoxplotOriginalData	13	0.03	y
74	ringGraphType	13	0.03	y
75	broadcast	13	0.03	n
76	scatterPlotMatrix	13	0.03	y
77	edgeColor	13	0.03	y
78	legendInside	12	0.03	y
79	samplesClustered	12	0.03	y
80	histogramStat	12	0.03	y
81	layoutTopology	12	0.03	y
82	useBarnesHutSimulation	12	0.03	n
83	legendBackgroundColor	12	0.03	n
84	xAxisShow	11	0.03	y
85	shapeBy	11	0.03	y
86	showConfidenceIntervals	11	0.03	y
87	showDataValues	10	0.02	n
88	smpOverlayProperties	10	0.02	y
89	binned	10	0.02	y
90	layoutType	10	0.02	y
91	variablesClustered	10	0.02	y
92	colorNodeBy	10	0.02	y
93	showLoessFit	10	0.02	y
94	showSampleNames	9	0.02	y
95	smpLabelInterval	9	0.02	y
96	yAxisTicksMinorShow	9	0.02	n
97	marginRight	9	0.02	n
98	boxplotWishkersType	9	0.02	n
99	boxplotNotched	9	0.02	n
100	histogramType	9	0.02	y
101	showRegressionFit	9	0.02	y
102	scatterPlotMatrixType	9	0.02	y
103	networkColaStartUnconstrainedIterations	9	0.02	n
104	zAxis	9	0.02	n
105	objectColorTransparency	8	0.02	n
106	dataPointSizeScaleFactor	8	0.02	y
107	xAxisTicksMajorShow	8	0.02	n
108	connections	8	0.02	n
109	layoutCollapse	8	0.02	n
110	mapConfig	8	0.02	y
111	meterType	8	0.02	y
112	toolbarType	8	0.02	n
113	splitSamplesBy	7	0.02	y
114	widthFactor	7	0.02	y
115	marginLeft	7	0.02	n
116	marginBottom	7	0.02	n
117	setMaxX	7	0.02	y
118	setMinX	7	0.02	y
119	ridgeBy	7	0.02	y
120	scatterStreamExtraSpan	7	0.02	n
121	scatterStreamBandwidth	7	0.02	n
122	coordinateLineColor	6	0.01	n
123	marginTop	6	0.01	n
124	ganttEnd	6	0.01	y
125	ganttStart	6	0.01	y
126	blockContrast	6	0.01	n
127	heatmapIndicatorPosition	6	0.01	y
128	showScatterDensity	6	0.01	n
129	ridgelineScale	6	0.01	y
130	plotBox	6	0.01	n
131	scatterStreamNumber	6	0.01	n
132	scatterStreamType	6	0.01	y
133	areaType	5	0.01	y
134	fontName	5	0.01	y
135	xAxisTickFormat	5	0.01	y
136	sizes	5	0.01	n
137	fishAxis	5	0.01	n
138	fishShape	5	0.01	n
139	fishTimepoints	5	0.01	n
140	fishParents	5	0.01	n
141	setMaxY	5	0.01	y
142	setMinY	5	0.01	y
143	ganttCompletion	5	0.01	n
144	colorSpectrumZeroValue	5	0.01	n
145	binplotShape	5	0.01	n
146	showKMConfidenceIntervals	5	0.01	y
147	confidenceIntervalColorCoordinate	5	0.01	n
148	meterMax	5	0.01	n
149	meterMin	5	0.01	n
150	showAnimation	5	0.01	n
151	networkColaAvoidOverlaps	5	0.01	n
152	yAxisExact	5	0.01	n
153	yAxisTickColor	5	0.01	y
154	boxplotWhiskersType	5	0.01	y
155	plotStyle	5	0.01	y
156	barType	4	0.01	y
157	showLegendTitle	4	0.01	y
158	titleScaleFontFactor	4	0.01	y
159	maxTextSize	4	0.01	n
160	boxplotConnect	4	0.01	n
161	bubbleLabel	4	0.01	n
162	colorSmpDendrogramBy	4	0.01	y
163	ringsOrder	4	0.01	n
164	showIdeogram	4	0.01	n
165	arcSegmentsSeparation	4	0.01	n
166	showContourLevel	4	0.01	n
167	heatmapCellBox	4	0.01	n
168	contourType	4	0.01	y
169	invertCensored	4	0.01	n
170	densityPosition	4	0.01	y
171	showErrorBars	4	0.01	y
172	showVarDendrogram	4	0.01	y
173	showSmpDendrogram	4	0.01	y
174	heatmapIndicatorHeight	4	0.01	y
175	heatmapIndicatorHistogram	4	0.01	n
176	heatmapIndicatorWidth	4	0.01	y
177	varOverlays	4	0.01	y
178	varOverlayProperties	4	0.01	n
179	binplotBins	4	0.01	n
180	asSampleFactors	4	0.01	n
181	stringVariableFactors	4	0.01	n
182	mapProjection	4	0.01	n
183	markerBy	4	0.01	n
184	useLeaflet	4	0.01	y
185	meterColors	4	0.01	n
186	meterSegments	4	0.01	n
187	networkColaJaccardLinkLengths	4	0.01	n
188	networkColaJaccardLinkLengthDefault	4	0.01	n
189	networkColaAllConstraintsIterations	4	0.01	n
190	networkColaUserConstraintIterations	4	0.01	n
191	overlaysThickness	4	0.01	y
192	oncoprintMUT	4	0.01	n
193	oncoprintCNA	4	0.01	n
194	xAxisRugShow	4	0.01	y
195	sankeyTarget	4	0.01	y
196	sankeySource	4	0.01	y
197	sampleSpaceFactor	4	0.01	n
198	scatterStreamTrueRange	4	0.01	n
199	fontStyle	3	0.01	n
200	smpLabelFontStyle	3	0.01	n
201	decorationsTextScaleFontFactor	3	0.01	n
202	treemapBy	3	0.01	n
203	fontsExternal	3	0.01	n
204	smpLabelColor	3	0.01	y
205	titleColor	3	0.01	y
206	barPathTransparency	3	0.01	n
207	barPath	3	0.01	n
208	barPathColor	3	0.01	n
209	connectBy	3	0.01	n
210	bubbleOutlineColor	3	0.01	n
211	rAxisTickFormat	3	0.01	n
212	higlightGreyOut	3	0.01	n
213	smpDendrogramPosition	3	0.01	y
214	showVariableNames	3	0.01	y
215	correlationAxis	3	0.01	n
216	xAxisHistogramShow	3	0.01	n
217	yAxisHistogramShow	3	0.01	n
218	showSmpOverlaysLegend	3	0.01	y
219	citationFontStyle	3	0.01	n
220	sizeByContinuous	3	0.01	n
221	backgroundImage	3	0.01	n
222	varLabelRotate	3	0.01	y
223	gradientOrientation	3	0.01	n
224	ganttDependency	3	0.01	n
225	patternBy	3	0.01	
